iter	Passed	Remaining
704	1311	548
705	1312	546
706	1313	544
707	1315	542
708	1316	540
709	1318	538
710	1320	536
711	1321	534
712	1323	532
713	1324	530
714	1326	528
715	1327	526
716	1329	524
717	1331	522
718	1332	520
719	1334	518
720	1335	516
721	1337	514
722	1338	512
723	1339	510
724	1341	508
725	1342	506
726	1344	504
727	1345	502
728	1347	500
729	1348	498
730	1349	496
731	1351	494
732	1352	492
733	1354	490
734	1355	488
735	1357	486
736	1359	485
737	1360	483
738	1362	481
739	1363	479
740	1365	477
741	1367	475
742	1368	473
743	1370	471
744	1371	469
745	1373	467
746	1374	465
747	1375	463
748	1377	461
749	1378	459
750	1380	457
751	1382	455
752	1383	453
753	1384	451
754	1386	449
755	1388	448
756	1389	446
757	1391	444
758	1392	442
759	1393	440
760	1395	438
761	1396	436
762	1397	434
763	1399	432
764	1400	430
765	1401	428
766	1403	426
767	1404	424
768	1406	422
769	1407	420
770	1409	418
771	1410	416
772	1412	414
773	1413	412
774	1415	410
775	1416	408
776	1418	407
777	1419	405
778	1421	403
779	1422	401
780	1424	399
781	1425	397
782	1427	395
783	1428	393
784	1430	391
785	1431	389
786	1432	387
787	1434	385
788	1435	383
789	1437	382
790	1438	380
791	1439	378
792	1441	376
793	1442	374
794	1444	372
795	1445	370
796	1447	368
797	1448	366
798	1449	364
799	1451	362
800	1452	360
801	1453	358
802	1454	356
803	1456	355
804	1457	353
805	1459	351
806	1460	349
807	1462	347
808	1463	345
809	1465	343
810	1466	341
811	1468	339
812	1469	338
813	1471	336
814	1473	334
815	1474	332
816	1476	330
817	1477	328
818	1479	327
819	1481	325
820	1482	323
821	1483	321
822	1485	319
823	1487	317
824	1489	315
825	1490	314
826	1492	312
827	1494	310
828	1495	308
829	1497	306
830	1498	304
831	1499	302
832	1501	300
833	1502	299
834	1504	297
835	1505	295
836	1506	293
837	1508	291
838	1509	289
839	1511	287
840	1512	285
841	1514	284
842	1515	282
843	1517	280
844	1518	278
845	1520	276
846	1521	274
847	1523	273
848	1524	271
849	1526	269
850	1527	267
851	1529	265
852	1530	263
853	1532	261
854	1533	260
855	1535	258
856	1536	256
857	1538	254
858	1539	252
859	1541	250
860	1542	249
861	1543	247
862	1545	245
863	1547	243
864	1549	241
865	1550	239
866	1551	238
867	1553	236
868	1554	234
869	1556	232
870	1557	230
871	1559	228
872	1560	226
873	1561	225
874	1562	223
875	1564	221
876	1565	219
877	1567	217
878	1568	215
879	1570	214
880	1571	212
881	1572	210
882	1574	208
883	1575	206
884	1577	204
885	1578	203
886	1579	201
887	1581	199
888	1582	197
889	1584	195
890	1585	193
891	1587	192
892	1588	190
893	1589	188
894	1591	186
895	1592	184
896	1594	183
897	1595	181
898	1597	179
899	1598	177
900	1599	175
901	1601	173
902	1602	172
903	1604	170
904	1605	168
905	1606	166
906	1608	164
907	1609	163
908	1611	161
909	1612	159
910	1614	157
911	1615	155
912	1616	154
913	1617	152
914	1619	150
915	1620	148
916	1622	146
917	1623	145
918	1625	143
919	1626	141
920	1627	139
921	1629	137
922	1630	136
923	1632	134
924	1633	132
925	1634	130
926	1636	128
927	1637	127
928	1639	125
929	1641	123
930	1642	121
931	1644	119
932	1645	118
933	1647	116
934	1648	114
935	1650	112
936	1651	111
937	1652	109
938	1653	107
939	1655	105
940	1657	103
941	1658	102
942	1660	100
943	1662	98
944	1663	96
945	1665	95
946	1666	93
947	1668	91
948	1670	89
949	1671	87
950	1673	86
951	1675	84
952	1676	82
953	1678	80
954	1679	79
955	1681	77
956	1682	75
957	1684	73
958	1685	72
959	1686	70
960	1688	68
961	1689	66
962	1691	64
963	1692	63
964	1694	61
965	1695	59
966	1696	57
967	1698	56
968	1699	54
969	1700	52
970	1702	50
971	1703	49
972	1705	47
973	1706	45
974	1710	43
975	1713	42
976	1715	40
977	1717	38
978	1719	36
979	1721	35
980	1722	33
981	1724	31
982	1726	29
983	1728	28
984	1729	26
985	1731	24
986	1733	22
987	1734	21
988	1736	19
989	1737	17
990	1739	15
991	1740	14
992	1742	12
993	1744	10
994	1745	8
995	1748	7
996	1749	5
997	1751	3
998	1752	1
999	1754	0
